Provincias;Ramas de actividad;periodo;Total
40 Segovia;PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO;2021(P);3.460.982
40 Segovia;PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO;2019;3.500.825
41 Sevilla;PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO;2021(P);40.657.710
41 Sevilla;PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO;2019;40.538.496
42 Soria;PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO;2021(P);2.531.565
42 Soria;PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO;2019;2.524.615
43 Tarragona;PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO;2021(P);24.421.364
43 Tarragona;PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO;2019;24.643.977
44 Teruel;PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO;2021(P);3.460.089
44 Teruel;PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO;2019;3.394.776
45 Toledo;PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO;2021(P);13.258.842
45 Toledo;PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO;2019;13.173.524
46 Valencia/València;PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO;2021(P);61.410.589
46 Valencia/València;PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO;2019;62.157.518
47 Valladolid;PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO;2021(P);14.293.892
47 Valladolid;PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO;2019;14.635.137
49 Zamora;PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO;2021(P);3.582.273
49 Zamora;PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO;2019;3.514.472
50 Zaragoza;PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO;2021(P);27.896.994
50 Zaragoza;PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO;2019;28.155.594
51 Ceuta;PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO;2021(P);1.765.159
51 Ceuta;PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO;2019;1.774.927
52 Melilla;PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO;2021(P);1.616.543
52 Melilla;PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO;2019;1.625.086
