Provincias;Edad (3 grupos de edad);Españoles/Extranjeros;Sexo;Año;Total
14 Córdoba;TOTAL EDADES;TOTAL;Ambos sexos;2022;772.464
14 Córdoba;TOTAL EDADES;TOTAL;Ambos sexos;2021;776.789
15 Coruña, A;TOTAL EDADES;TOTAL;Ambos sexos;2022;1.119.180
15 Coruña, A;TOTAL EDADES;TOTAL;Ambos sexos;2021;1.120.134
16 Cuenca;TOTAL EDADES;TOTAL;Ambos sexos;2022;195.215
16 Cuenca;TOTAL EDADES;TOTAL;Ambos sexos;2021;195.516
20 Gipuzkoa;TOTAL EDADES;TOTAL;Ambos sexos;2022;724.418
20 Gipuzkoa;TOTAL EDADES;TOTAL;Ambos sexos;2021;726.033
17 Girona;TOTAL EDADES;TOTAL;Ambos sexos;2022;793.478
17 Girona;TOTAL EDADES;TOTAL;Ambos sexos;2021;786.596
18 Granada;TOTAL EDADES;TOTAL;Ambos sexos;2022;921.987
18 Granada;TOTAL EDADES;TOTAL;Ambos sexos;2021;921.338
19 Guadalajara;TOTAL EDADES;TOTAL;Ambos sexos;2022;268.127
19 Guadalajara;TOTAL EDADES;TOTAL;Ambos sexos;2021;265.588
21 Huelva;TOTAL EDADES;TOTAL;Ambos sexos;2022;528.763
21 Huelva;TOTAL EDADES;TOTAL;Ambos sexos;2021;525.835
22 Huesca;TOTAL EDADES;TOTAL;Ambos sexos;2022;225.456
22 Huesca;TOTAL EDADES;TOTAL;Ambos sexos;2021;224.264
23 Jaén;TOTAL EDADES;TOTAL;Ambos sexos;2022;623.761
23 Jaén;TOTAL EDADES;TOTAL;Ambos sexos;2021;627.190
24 León;TOTAL EDADES;TOTAL;Ambos sexos;2022;448.179
24 León;TOTAL EDADES;TOTAL;Ambos sexos;2021;451.706
25 Lleida;TOTAL EDADES;TOTAL;Ambos sexos;2022;441.443
25 Lleida;TOTAL EDADES;TOTAL;Ambos sexos;2021;439.727
27 Lugo;TOTAL EDADES;TOTAL;Ambos sexos;2022;323.989
27 Lugo;TOTAL EDADES;TOTAL;Ambos sexos;2021;326.013
28 Madrid;TOTAL EDADES;TOTAL;Ambos sexos;2022;6.750.336
28 Madrid;TOTAL EDADES;TOTAL;Ambos sexos;2021;6.751.251
29 Málaga;TOTAL EDADES;TOTAL;Ambos sexos;2022;1.717.504
29 Málaga;TOTAL EDADES;TOTAL;Ambos sexos;2021;1.695.651
30 Murcia;TOTAL EDADES;TOTAL;Ambos sexos;2022;1.531.878
30 Murcia;TOTAL EDADES;TOTAL;Ambos sexos;2021;1.518.486
31 Navarra;TOTAL EDADES;TOTAL;Ambos sexos;2022;664.117
31 Navarra;TOTAL EDADES;TOTAL;Ambos sexos;2021;661.537
32 Ourense;TOTAL EDADES;TOTAL;Ambos sexos;2022;304.280
32 Ourense;TOTAL EDADES;TOTAL;Ambos sexos;2021;305.223
34 Palencia;TOTAL EDADES;TOTAL;Ambos sexos;2022;158.008
34 Palencia;TOTAL EDADES;TOTAL;Ambos sexos;2021;159.123
35 Palmas, Las;TOTAL EDADES;TOTAL;Ambos sexos;2022;1.129.395
35 Palmas, Las;TOTAL EDADES;TOTAL;Ambos sexos;2021;1.128.539
36 Pontevedra;TOTAL EDADES;TOTAL;Ambos sexos;2022;943.015
36 Pontevedra;TOTAL EDADES;TOTAL;Ambos sexos;2021;944.275
26 Rioja, La;TOTAL EDADES;TOTAL;Ambos sexos;2022;319.892
26 Rioja, La;TOTAL EDADES;TOTAL;Ambos sexos;2021;319.796
37 Salamanca;TOTAL EDADES;TOTAL;Ambos sexos;2022;325.898
37 Salamanca;TOTAL EDADES;TOTAL;Ambos sexos;2021;327.338
38 Santa Cruz de Tenerife;TOTAL EDADES;TOTAL;Ambos sexos;2022;1.048.306
38 Santa Cruz de Tenerife;TOTAL EDADES;TOTAL;Ambos sexos;2021;1.044.405
40 Segovia;TOTAL EDADES;TOTAL;Ambos sexos;2022;153.803
40 Segovia;TOTAL EDADES;TOTAL;Ambos sexos;2021;153.663
41 Sevilla;TOTAL EDADES;TOTAL;Ambos sexos;2022;1.948.393
41 Sevilla;TOTAL EDADES;TOTAL;Ambos sexos;2021;1.947.852
42 Soria;TOTAL EDADES;TOTAL;Ambos sexos;2022;88.377
42 Soria;TOTAL EDADES;TOTAL;Ambos sexos;2021;88.747
43 Tarragona;TOTAL EDADES;TOTAL;Ambos sexos;2022;830.075
43 Tarragona;TOTAL EDADES;TOTAL;Ambos sexos;2021;822.309
44 Teruel;TOTAL EDADES;TOTAL;Ambos sexos;2022;134.421
44 Teruel;TOTAL EDADES;TOTAL;Ambos sexos;2021;134.545
45 Toledo;TOTAL EDADES;TOTAL;Ambos sexos;2022;713.453
45 Toledo;TOTAL EDADES;TOTAL;Ambos sexos;2021;709.403
46 Valencia/València;TOTAL EDADES;TOTAL;Ambos sexos;2022;2.605.757
46 Valencia/València;TOTAL EDADES;TOTAL;Ambos sexos;2021;2.589.312
47 Valladolid;TOTAL EDADES;TOTAL;Ambos sexos;2022;517.975
47 Valladolid;TOTAL EDADES;TOTAL;Ambos sexos;2021;519.361
49 Zamora;TOTAL EDADES;TOTAL;Ambos sexos;2022;167.215
49 Zamora;TOTAL EDADES;TOTAL;Ambos sexos;2021;168.725
50 Zaragoza;TOTAL EDADES;TOTAL;Ambos sexos;2022;966.438
50 Zaragoza;TOTAL EDADES;TOTAL;Ambos sexos;2021;967.452
51 Ceuta;TOTAL EDADES;TOTAL;Ambos sexos;2022;83.117
51 Ceuta;TOTAL EDADES;TOTAL;Ambos sexos;2021;83.517
52 Melilla;TOTAL EDADES;TOTAL;Ambos sexos;2022;85.170
52 Melilla;TOTAL EDADES;TOTAL;Ambos sexos;2021;86.261
