Provincias;Ramas de actividad;Magnitud;periodo;Total
39 Cantabria;TOTAL PERSONAS;Empleo total (miles de personas);2018;227,7
12 Castellón/Castelló;TOTAL PERSONAS;Empleo total (miles de personas);2021(P);250,7
12 Castellón/Castelló;TOTAL PERSONAS;Empleo total (miles de personas);2018;247,3
13 Ciudad Real;TOTAL PERSONAS;Empleo total (miles de personas);2021(P);184,9
13 Ciudad Real;TOTAL PERSONAS;Empleo total (miles de personas);2018;183,7
14 Córdoba;TOTAL PERSONAS;Empleo total (miles de personas);2021(P);275,8
14 Córdoba;TOTAL PERSONAS;Empleo total (miles de personas);2018;281,7
15 Coruña, A;TOTAL PERSONAS;Empleo total (miles de personas);2021(P);457,4
15 Coruña, A;TOTAL PERSONAS;Empleo total (miles de personas);2018;459,4
16 Cuenca;TOTAL PERSONAS;Empleo total (miles de personas);2021(P);80,8
16 Cuenca;TOTAL PERSONAS;Empleo total (miles de personas);2018;78,5
20 Gipuzkoa;TOTAL PERSONAS;Empleo total (miles de personas);2021(P);351,2
20 Gipuzkoa;TOTAL PERSONAS;Empleo total (miles de personas);2018;352,3
17 Girona;TOTAL PERSONAS;Empleo total (miles de personas);2021(P);334,4
17 Girona;TOTAL PERSONAS;Empleo total (miles de personas);2018;332,0
18 Granada;TOTAL PERSONAS;Empleo total (miles de personas);2021(P);322,3
18 Granada;TOTAL PERSONAS;Empleo total (miles de personas);2018;322,2
19 Guadalajara;TOTAL PERSONAS;Empleo total (miles de personas);2021(P);88,8
19 Guadalajara;TOTAL PERSONAS;Empleo total (miles de personas);2018;86,7
21 Huelva;TOTAL PERSONAS;Empleo total (miles de personas);2021(P);180,6
21 Huelva;TOTAL PERSONAS;Empleo total (miles de personas);2018;183,9
22 Huesca;TOTAL PERSONAS;Empleo total (miles de personas);2021(P);100,6
22 Huesca;TOTAL PERSONAS;Empleo total (miles de personas);2018;99,3
23 Jaén;TOTAL PERSONAS;Empleo total (miles de personas);2021(P);212,1
23 Jaén;TOTAL PERSONAS;Empleo total (miles de personas);2018;216,2
24 León;TOTAL PERSONAS;Empleo total (miles de personas);2021(P);168,3
24 León;TOTAL PERSONAS;Empleo total (miles de personas);2018;171,9
25 Lleida;TOTAL PERSONAS;Empleo total (miles de personas);2021(P);207,9
25 Lleida;TOTAL PERSONAS;Empleo total (miles de personas);2018;197,4
27 Lugo;TOTAL PERSONAS;Empleo total (miles de personas);2021(P);128,2
27 Lugo;TOTAL PERSONAS;Empleo total (miles de personas);2018;132,1
28 Madrid;TOTAL PERSONAS;Empleo total (miles de personas);2021(P);3.514,4
28 Madrid;TOTAL PERSONAS;Empleo total (miles de personas);2018;3.427,4
29 Málaga;TOTAL PERSONAS;Empleo total (miles de personas);2021(P);615,8
29 Málaga;TOTAL PERSONAS;Empleo total (miles de personas);2018;610,7
30 Murcia;TOTAL PERSONAS;Empleo total (miles de personas);2021(P);620,8
30 Murcia;TOTAL PERSONAS;Empleo total (miles de personas);2018;613,8
31 Navarra;TOTAL PERSONAS;Empleo total (miles de personas);2021(P);302,7
31 Navarra;TOTAL PERSONAS;Empleo total (miles de personas);2018;306,1
32 Ourense;TOTAL PERSONAS;Empleo total (miles de personas);2021(P);110,8
32 Ourense;TOTAL PERSONAS;Empleo total (miles de personas);2018;110,5
34 Palencia;TOTAL PERSONAS;Empleo total (miles de personas);2021(P);65,7
34 Palencia;TOTAL PERSONAS;Empleo total (miles de personas);2018;68,2
35 Palmas, Las;TOTAL PERSONAS;Empleo total (miles de personas);2021(P);422,2
35 Palmas, Las;TOTAL PERSONAS;Empleo total (miles de personas);2018;427,7
36 Pontevedra;TOTAL PERSONAS;Empleo total (miles de personas);2021(P);371,7
36 Pontevedra;TOTAL PERSONAS;Empleo total (miles de personas);2018;372,4
26 Rioja, La;TOTAL PERSONAS;Empleo total (miles de personas);2021(P);138,2
26 Rioja, La;TOTAL PERSONAS;Empleo total (miles de personas);2018;137,6
37 Salamanca;TOTAL PERSONAS;Empleo total (miles de personas);2021(P);129,4
37 Salamanca;TOTAL PERSONAS;Empleo total (miles de personas);2018;131,1
38 Santa Cruz de Tenerife;TOTAL PERSONAS;Empleo total (miles de personas);2021(P);386,7
38 Santa Cruz de Tenerife;TOTAL PERSONAS;Empleo total (miles de personas);2018;398,5
40 Segovia;TOTAL PERSONAS;Empleo total (miles de personas);2021(P);64,5
40 Segovia;TOTAL PERSONAS;Empleo total (miles de personas);2018;63,2
41 Sevilla;TOTAL PERSONAS;Empleo total (miles de personas);2021(P);726,8
41 Sevilla;TOTAL PERSONAS;Empleo total (miles de personas);2018;708,7
42 Soria;TOTAL PERSONAS;Empleo total (miles de personas);2021(P);41,0
42 Soria;TOTAL PERSONAS;Empleo total (miles de personas);2018;41,4
43 Tarragona;TOTAL PERSONAS;Empleo total (miles de personas);2021(P);324,9
43 Tarragona;TOTAL PERSONAS;Empleo total (miles de personas);2018;333,4
44 Teruel;TOTAL PERSONAS;Empleo total (miles de personas);2021(P);56,7
44 Teruel;TOTAL PERSONAS;Empleo total (miles de personas);2018;56,1
45 Toledo;TOTAL PERSONAS;Empleo total (miles de personas);2021(P);234,5
45 Toledo;TOTAL PERSONAS;Empleo total (miles de personas);2018;229,6
46 Valencia/València;TOTAL PERSONAS;Empleo total (miles de personas);2021(P);1.038,1
46 Valencia/València;TOTAL PERSONAS;Empleo total (miles de personas);2018;1.023,0
47 Valladolid;TOTAL PERSONAS;Empleo total (miles de personas);2021(P);235,0
47 Valladolid;TOTAL PERSONAS;Empleo total (miles de personas);2018;239,4
49 Zamora;TOTAL PERSONAS;Empleo total (miles de personas);2021(P);60,6
49 Zamora;TOTAL PERSONAS;Empleo total (miles de personas);2018;61,1
50 Zaragoza;TOTAL PERSONAS;Empleo total (miles de personas);2021(P);444,9
50 Zaragoza;TOTAL PERSONAS;Empleo total (miles de personas);2018;447,8
51 Ceuta;TOTAL PERSONAS;Empleo total (miles de personas);2021(P);31,7
51 Ceuta;TOTAL PERSONAS;Empleo total (miles de personas);2018;31,2
52 Melilla;TOTAL PERSONAS;Empleo total (miles de personas);2021(P);31,0
52 Melilla;TOTAL PERSONAS;Empleo total (miles de personas);2018;29,8
