Provincias;Edad (3 grupos de edad);Españoles/Extranjeros;Sexo;Año;Total
39 Cantabria;TOTAL EDADES;TOTAL;Ambos sexos;2022;585.402
39 Cantabria;TOTAL EDADES;TOTAL;Ambos sexos;2020;582.905
12 Castellón/Castelló;TOTAL EDADES;TOTAL;Ambos sexos;2022;590.616
12 Castellón/Castelló;TOTAL EDADES;TOTAL;Ambos sexos;2020;585.590
13 Ciudad Real;TOTAL EDADES;TOTAL;Ambos sexos;2022;490.806
13 Ciudad Real;TOTAL EDADES;TOTAL;Ambos sexos;2020;495.045
14 Córdoba;TOTAL EDADES;TOTAL;Ambos sexos;2022;772.464
14 Córdoba;TOTAL EDADES;TOTAL;Ambos sexos;2020;781.451
15 Coruña, A;TOTAL EDADES;TOTAL;Ambos sexos;2022;1.119.180
15 Coruña, A;TOTAL EDADES;TOTAL;Ambos sexos;2020;1.121.815
16 Cuenca;TOTAL EDADES;TOTAL;Ambos sexos;2022;195.215
16 Cuenca;TOTAL EDADES;TOTAL;Ambos sexos;2020;196.139
20 Gipuzkoa;TOTAL EDADES;TOTAL;Ambos sexos;2022;724.418
20 Gipuzkoa;TOTAL EDADES;TOTAL;Ambos sexos;2020;727.121
17 Girona;TOTAL EDADES;TOTAL;Ambos sexos;2022;793.478
17 Girona;TOTAL EDADES;TOTAL;Ambos sexos;2020;781.788
18 Granada;TOTAL EDADES;TOTAL;Ambos sexos;2022;921.987
18 Granada;TOTAL EDADES;TOTAL;Ambos sexos;2020;919.168
19 Guadalajara;TOTAL EDADES;TOTAL;Ambos sexos;2022;268.127
19 Guadalajara;TOTAL EDADES;TOTAL;Ambos sexos;2020;261.995
21 Huelva;TOTAL EDADES;TOTAL;Ambos sexos;2022;528.763
21 Huelva;TOTAL EDADES;TOTAL;Ambos sexos;2020;524.278
22 Huesca;TOTAL EDADES;TOTAL;Ambos sexos;2022;225.456
22 Huesca;TOTAL EDADES;TOTAL;Ambos sexos;2020;222.687
23 Jaén;TOTAL EDADES;TOTAL;Ambos sexos;2022;623.761
23 Jaén;TOTAL EDADES;TOTAL;Ambos sexos;2020;631.381
24 León;TOTAL EDADES;TOTAL;Ambos sexos;2022;448.179
24 León;TOTAL EDADES;TOTAL;Ambos sexos;2020;456.439
25 Lleida;TOTAL EDADES;TOTAL;Ambos sexos;2022;441.443
25 Lleida;TOTAL EDADES;TOTAL;Ambos sexos;2020;438.517
27 Lugo;TOTAL EDADES;TOTAL;Ambos sexos;2022;323.989
27 Lugo;TOTAL EDADES;TOTAL;Ambos sexos;2020;327.946
28 Madrid;TOTAL EDADES;TOTAL;Ambos sexos;2022;6.750.336
28 Madrid;TOTAL EDADES;TOTAL;Ambos sexos;2020;6.779.888
29 Málaga;TOTAL EDADES;TOTAL;Ambos sexos;2022;1.717.504
29 Málaga;TOTAL EDADES;TOTAL;Ambos sexos;2020;1.685.920
30 Murcia;TOTAL EDADES;TOTAL;Ambos sexos;2022;1.531.878
30 Murcia;TOTAL EDADES;TOTAL;Ambos sexos;2020;1.511.251
31 Navarra;TOTAL EDADES;TOTAL;Ambos sexos;2022;664.117
31 Navarra;TOTAL EDADES;TOTAL;Ambos sexos;2020;661.197
32 Ourense;TOTAL EDADES;TOTAL;Ambos sexos;2022;304.280
32 Ourense;TOTAL EDADES;TOTAL;Ambos sexos;2020;306.650
34 Palencia;TOTAL EDADES;TOTAL;Ambos sexos;2022;158.008
34 Palencia;TOTAL EDADES;TOTAL;Ambos sexos;2020;160.321
35 Palmas, Las;TOTAL EDADES;TOTAL;Ambos sexos;2022;1.129.395
35 Palmas, Las;TOTAL EDADES;TOTAL;Ambos sexos;2020;1.131.065
36 Pontevedra;TOTAL EDADES;TOTAL;Ambos sexos;2022;943.015
36 Pontevedra;TOTAL EDADES;TOTAL;Ambos sexos;2020;945.408
26 Rioja, La;TOTAL EDADES;TOTAL;Ambos sexos;2022;319.892
26 Rioja, La;TOTAL EDADES;TOTAL;Ambos sexos;2020;319.914
37 Salamanca;TOTAL EDADES;TOTAL;Ambos sexos;2022;325.898
37 Salamanca;TOTAL EDADES;TOTAL;Ambos sexos;2020;329.245
38 Santa Cruz de Tenerife;TOTAL EDADES;TOTAL;Ambos sexos;2022;1.048.306
38 Santa Cruz de Tenerife;TOTAL EDADES;TOTAL;Ambos sexos;2020;1.044.887
40 Segovia;TOTAL EDADES;TOTAL;Ambos sexos;2022;153.803
40 Segovia;TOTAL EDADES;TOTAL;Ambos sexos;2020;153.478
41 Sevilla;TOTAL EDADES;TOTAL;Ambos sexos;2022;1.948.393
41 Sevilla;TOTAL EDADES;TOTAL;Ambos sexos;2020;1.950.219
42 Soria;TOTAL EDADES;TOTAL;Ambos sexos;2022;88.377
42 Soria;TOTAL EDADES;TOTAL;Ambos sexos;2020;88.884
43 Tarragona;TOTAL EDADES;TOTAL;Ambos sexos;2022;830.075
43 Tarragona;TOTAL EDADES;TOTAL;Ambos sexos;2020;816.772
44 Teruel;TOTAL EDADES;TOTAL;Ambos sexos;2022;134.421
44 Teruel;TOTAL EDADES;TOTAL;Ambos sexos;2020;134.176
45 Toledo;TOTAL EDADES;TOTAL;Ambos sexos;2022;713.453
45 Toledo;TOTAL EDADES;TOTAL;Ambos sexos;2020;703.772
46 Valencia/València;TOTAL EDADES;TOTAL;Ambos sexos;2022;2.605.757
46 Valencia/València;TOTAL EDADES;TOTAL;Ambos sexos;2020;2.591.875
47 Valladolid;TOTAL EDADES;TOTAL;Ambos sexos;2022;517.975
47 Valladolid;TOTAL EDADES;TOTAL;Ambos sexos;2020;520.649
49 Zamora;TOTAL EDADES;TOTAL;Ambos sexos;2022;167.215
49 Zamora;TOTAL EDADES;TOTAL;Ambos sexos;2020;170.588
50 Zaragoza;TOTAL EDADES;TOTAL;Ambos sexos;2022;966.438
50 Zaragoza;TOTAL EDADES;TOTAL;Ambos sexos;2020;972.528
51 Ceuta;TOTAL EDADES;TOTAL;Ambos sexos;2022;83.117
51 Ceuta;TOTAL EDADES;TOTAL;Ambos sexos;2020;84.202
52 Melilla;TOTAL EDADES;TOTAL;Ambos sexos;2022;85.170
52 Melilla;TOTAL EDADES;TOTAL;Ambos sexos;2020;87.076
